224,224,3,7,7,64,1,2
56,56,64,3,3,64,0,1
56,56,64,3,3,64,0,1
56,56,64,3,3,64,0,1
56,56,64,3,3,64,0,1
56,56,64,3,3,128,0,2
28,28,128,3,3,128,0,1
56,56,64,1,1,128,0,2
28,28,128,3,3,128,0,1
28,28,128,3,3,128,0,1
28,28,128,3,3,256,0,2
14,14,256,3,3,256,0,1
28,28,128,1,1,256,0,2
14,14,256,3,3,256,0,1
14,14,256,3,3,256,0,1
14,14,256,3,3,512,0,2
7,7,512,3,3,512,0,1
14,14,256,1,1,512,0,2
7,7,512,3,3,512,0,1
7,7,512,3,3,512,1,1
1,1,512,1,1,1000,0,1
